listing.date_scraping,listing.date_publication,listing.date_maj,listing.statut,listing.langue,transaction.type,transaction.prix,transaction.devise,transaction.prix_m2,bien.type,bien.usage,bien.superficie_totale,bien.superficie_habitable,bien.nombre_pieces,bien.nombre_chambres,bien.nombre_salles_bain,bien.etat_general,localisation.pays,localisation.pays_code,localisation.gouvernorat,localisation.delegation,localisation.ville,localisation.localite,localisation.adresse,localisation.proximites,localisation.coordonnees.latitude,localisation.coordonnees.longitude,equipements.climatisation,equipements.chauffage,equipements.ascenseur,equipements.garage,equipements.cave,equipements.terrasse,equipements.balcon,equipements.jardin,equipements.piscine,equipements.cuisine_equipee,equipements.double_vitrage,equipements.interphone,equipements.videophone,equipements.alarme,equipements.gardiennage,equipements.dressing,equipements.cuisine_americaine,equipements.concierge,equipements.salle_de_sport,equipements.autres,description.titre,description.texte,medias.photos,medias.nombre_photos,contact.type_vendeur,contact.nom_vendeur,contact.nom_agence,contact.telephone,contact.email,metadonnees_scraping.source,metadonnees_scraping.methode,metadonnees_scraping.statut_scraping,prix_log,price_bin,prix_m2_cleaned,log_superficie,log_nombre_pieces,prix_m2_log,nb_equipements,jours_depuis_publication,has_coordinates
2026-07-30T23:41:49Z,2025-11-20T10:05:01.488Z,2025-11-20T10:05:01.488Z,vendre,fr,vente,690000.0,TND,4929.0,Villa,Habitation,140.0,120.0,4.0,3.0,0.0,Bon État / Habitable,Tunisie,TN,Nabeul,,Hammemet Sud,Autre,,[],36.45,10.73333,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,"['Lumineux', 'Calme', 'Porte blindée', 'Domotique / Caméra de sécurité', 'Accèes sécurisé / DigiCode']",Villa s+3,"🏢#MS IMMOBILIER🏢met en #vente🤑cette #villa S+3🏡 richement #meublée💯💯avec #piscine🏊et #jardin🌳🌳 dans un #quartier #calme👋 à #Hammamet_Sud🏝🏖 
🚶🚶Une loge gardien
💦🔌 Une cheminée et des climatiseurs sont disponibles 
🚗🚘Abri pour plusieurs voitures
📐Superficie couvert : 140 m²
📐Superficie : 685 m²
💰 Prix: 690 MD 
🍄Réf : MHS155
👉Pour plus d’informations contactez-nous sur ☎51355351","[{'url': 'https://fi-dari.tn/noPicture.png', 'url_thumb': None, 'legende': None, 'ordre': 1, 'type': 'interieur'}]",1,Agence,,MSIMMO MS,"['+21651355351', '51355351']",,fi_dari,playwright_detail_page_ld_rsc,succes,13.444448325847754,Q4,4928.571428571428,4.948759890378168,1.6094379124341003,8.503007331933736,6,252.0,1
2026-07-30T23:41:43Z,2025-11-20T15:38:22.817Z,2025-11-20T15:38:22.817Z,vendre,fr,vente,360000.0,TND,3000.0,Appartement,Habitation,120.0,120.0,3.0,2.0,1.0,Bon État / Habitable,Tunisie,TN,Nabeul,,Hammemet Centre,Autre,Hammamet,[],36.45,10.73333,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"['Lumineux', 'Climatisation']",Appartement s+2,"Appartement L’Andalou AV1951 
A vendre un bel appartement entièrement meublé, spacieux et bien lumineux. Situé au 2ème et dernier étage d’une petite résidence répartie en blocs de type R+2 chacun, avec un agréable jardin commun. Elle est gardée, sécurisée et bien entretenue.
L’appartement offre un salon – salle à manger ouvert sur une superbe terrasse ayant une belle vue sur verdure, une cuisine équipée, deux chambres à coucher avec divers placards et dont une qui donne sur la terrasse, une salle de bain et une salle d’eau. 
Il est équipée de chauffage central et de climatisation et dispose d’une place parking extérieur abrité.
Titre foncier en règle. 
Prix : 360 000 DT  
Pour toutes informations nécessaires et éventuelle visite, vous pouvez nous contacter sur le 00216 29 105 844 / 55 844 605 ou par email à info@mouin-immobilier.com Agence Mouin Immobilier International 
Vous trouverez toutes nos offres en visitant notre site web www.mouin-immobilier.com","[{'url': 'https://fi-dari.tn/uploads/1763653106750blob', 'url_thumb': None, 'legende': None, 'ordre': 1, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763653106744blob', 'url_thumb': None, 'legende': None, 'ordre': 2, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763653106761blob', 'url_thumb': None, 'legende': None, 'ordre': 3, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763653106760blob', 'url_thumb': None, 'legende': None, 'ordre': 4, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763653106758blob', 'url_thumb': None, 'legende': None, 'ordre': 5, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763653106757blob', 'url_thumb': None, 'legende': None, 'ordre': 6, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763653106755blob', 'url_thumb': None, 'legende': None, 'ordre': 7, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763653106762blob', 'url_thumb': None, 'legende': None, 'ordre': 8, 'type': 'interieur'}]",8,Agence,,Mouin Immobilier International,"['+21655844605', '55844605']",,fi_dari,playwright_detail_page_ld_rsc,succes,12.793862088206213,Q3,3000.0,4.795790545596741,1.3862943611198906,8.006700845440367,4,252.0,1
2026-07-30T23:41:37Z,2025-11-21T08:43:49.566Z,2025-11-21T08:43:49.566Z,vendre,fr,vente,385000.0,TND,3532.0,Appartement,Habitation,109.0,120.0,3.0,2.0,1.0,Bon État / Habitable,Tunisie,TN,Nabeul,,Hammemet Centre,Autre,,[],36.45,10.73333,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,"['Lumineux', 'Calme', 'Porte blindée', 'Domotique / Caméra de sécurité', 'Séchoir', 'Climatisation', 'Accèes sécurisé / DigiCode']",Appartement s+2,"📝#Direct #promoteur🗝🚪
🏢#MS_IMMOBILIER🏢vous offre pour la #vente des #appartements🏡de style S+2 de #hautstanding à #Hammamet🌊#zone_théâtre ⛱et #Polyclinique #Hammamet🏝🏖 
📐Superficie: 109 m²
💰Prix: 385 MD
📐Superficie: 127 m²
💰Prix: 450 MD
🎈Réf: AH001
👉Pour plus d’informations contactez-nous sur ☎51355351","[{'url': 'https://fi-dari.tn/uploads/1763714657427blob', 'url_thumb': None, 'legende': None, 'ordre': 1, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763714657419blob', 'url_thumb': None, 'legende': None, 'ordre': 2, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763714657434blob', 'url_thumb': None, 'legende': None, 'ordre': 3, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763714657440blob', 'url_thumb': None, 'legende': None, 'ordre': 4, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763714657436blob', 'url_thumb': None, 'legende': None, 'ordre': 5, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763714657441blob', 'url_thumb': None, 'legende': None, 'ordre': 6, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763714657446blob', 'url_thumb': None, 'legende': None, 'ordre': 7, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763714657443blob', 'url_thumb': None, 'legende': None, 'ordre': 8, 'type': 'interieur'}]",8,Agence,,MSIMMO MS,"['+21651355351', '51355351']",,fi_dari,playwright_detail_page_ld_rsc,succes,12.861001210669146,Q3,3532.1100917431195,4.700480365792417,1.3862943611198906,8.169933807853873,10,251.0,1
2026-07-30T23:41:30Z,2025-11-21T09:42:51.846Z,2025-11-21T09:42:51.846Z,vendre,fr,vente,320000.0,TND,2462.0,Maison,Habitation,130.0,120.0,3.0,2.0,0.0,Bon État / Habitable,Tunisie,TN,Nabeul,,Hammemet Sud,Autre,,[],36.45,10.73333,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"['Lumineux', 'Calme']",Maison s+2,"🙋#A_VENDRE chez notre agence🏢#MS_IMMOBILIER🏢 cette belle #maison🏘 de S+2🔑avec un spacieux #jardin🌲🌳dans un quartier #calme👨proche de toutes les #Commodités👨à #El_Menchar #Hammamet_Sud🌊⛱️
📜Document : Titre foncier
📐Superficie terrain : 840 m²
📐Superficie Couvert : 130 m²
💰Prix : 320 MD #Négociable
🦋Réf: MHS159
👉Pour plus d’informations contactez-nous sur ☎51355351","[{'url': 'https://fi-dari.tn/uploads/1763718235344blob', 'url_thumb': None, 'legende': None, 'ordre': 1, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763718235309blob', 'url_thumb': None, 'legende': None, 'ordre': 2, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763718235330blob', 'url_thumb': None, 'legende': None, 'ordre': 3, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763718235339blob', 'url_thumb': None, 'legende': None, 'ordre': 4, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763718235337blob', 'url_thumb': None, 'legende': None, 'ordre': 5, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763718235342blob', 'url_thumb': None, 'legende': None, 'ordre': 6, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763718235347blob', 'url_thumb': None, 'legende': None, 'ordre': 7, 'type': 'interieur'}]",7,Agence,,MSIMMO MS,"['+21651355351', '51355351']",,fi_dari,playwright_detail_page_ld_rsc,succes,12.676079399771027,Q2,2461.5384615384614,4.875197323201151,1.3862943611198906,7.808947991823138,1,251.0,1
2026-07-30T23:41:25Z,2025-11-21T11:41:05.544Z,2025-11-21T11:41:05.544Z,vendre,fr,vente,140000.0,TND,2545.0,Appartement,Habitation,55.0,120.0,1.0,1.0,0.0,Bon État / Habitable,Tunisie,TN,Nabeul,,Hammemet Centre,Autre,,[],36.45,10.73333,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"['Lumineux', 'Calme']",Appartement studio,"🙋🙋#ستوديو #للبيع🍡في #الحمامات بـ140 مليون# 🤑🤑 
☀️حي نظيف و راقي 🏄موش بعيد عالبحر و على مسرح الحمامات🌊🏖
📐المساحة: 55 متر مربع
☎️للاستفسار و لأكثر معلومات الرجاء الإتصال برقم الهاتف ☎️51355351
🍄Réf: AH077","[{'url': 'https://fi-dari.tn/uploads/1763725313674blob', 'url_thumb': None, 'legende': None, 'ordre': 1, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763725313652blob', 'url_thumb': None, 'legende': None, 'ordre': 2, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763725313664blob', 'url_thumb': None, 'legende': None, 'ordre': 3, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763725313672blob', 'url_thumb': None, 'legende': None, 'ordre': 4, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763725313669blob', 'url_thumb': None, 'legende': None, 'ordre': 5, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763725313677blob', 'url_thumb': None, 'legende': None, 'ordre': 6, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763725313679blob', 'url_thumb': None, 'legende': None, 'ordre': 7, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763725313681blob', 'url_thumb': None, 'legende': None, 'ordre': 8, 'type': 'interieur'}]",8,Agence,,MSIMMO MS,"['+21651355351', '51355351']",,fi_dari,playwright_detail_page_ld_rsc,succes,11.849404844423074,Q1,2545.4545454545455,4.02535169073515,0.6931471805599453,7.842457296353665,2,251.0,1
2026-07-30T23:41:19Z,2025-11-22T08:48:15.336Z,2025-11-22T08:48:15.336Z,vendre,fr,vente,350000.0,TND,759.0,Maison,Habitation,461.0,120.0,4.0,3.0,0.0,Bon État / Habitable,Tunisie,TN,Nabeul,,Autre,Autre,,[],36.45,10.73333,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"['Lumineux', 'Calme']",Maison s+3,"🏢#MS_IMMOBILIER🏢met en #vente🤑une #maison🏰#arabesque S+3 à #Bir_Challouf #Nabeul🏝🏖  
🧡Un grand #patio🌄🌄 peut servir comme #abris pour plusieurs #voitures🚘
🚶🚶Proche de toutes les #commodités
📐Superficie du terrain: 461 m²
📐Superficie bâtie : 200 m²
💰 Prix: 350 MD
🌈Réf : MN007
👉Pour plus d’informations contactez-nous sur ☎51355351","[{'url': 'https://fi-dari.tn/uploads/1763801328803blob', 'url_thumb': None, 'legende': None, 'ordre': 1, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763801328828blob', 'url_thumb': None, 'legende': None, 'ordre': 2, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763801328823blob', 'url_thumb': None, 'legende': None, 'ordre': 3, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763801328826blob', 'url_thumb': None, 'legende': None, 'ordre': 4, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763801328812blob', 'url_thumb': None, 'legende': None, 'ordre': 5, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763801328830blob', 'url_thumb': None, 'legende': None, 'ordre': 6, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763801328835blob', 'url_thumb': None, 'legende': None, 'ordre': 7, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763801328833blob', 'url_thumb': None, 'legende': None, 'ordre': 8, 'type': 'interieur'}]",8,Agence,,MSIMMO MS,"['+21651355351', '51355351']",,fi_dari,playwright_detail_page_ld_rsc,succes,12.765691290604371,Q2,759.2190889370933,6.135564891081739,1.6094379124341003,6.633606666654375,1,250.0,1
2026-07-30T23:41:13Z,2025-11-22T09:39:15.596Z,2025-11-22T09:39:15.596Z,vendre,fr,vente,1200000.0,TND,2182.0,Villa,Habitation,550.0,120.0,9.0,6.0,2.0,Bon État / Habitable,Tunisie,TN,Nabeul,,Hammamet Nord,Autre,Hammamet Nord,[],36.45,10.73333,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,"['Lumineux', 'Calme', 'Climatisation', 'Piscine']",Villa s+5 et plus,"Villa Dream 2 AV062
A vendre une villa située à Hammamet Nord proche d’Hôtel Sultan (sur la colline). 
Il s’agit d’une superbe propriété érigée sur trois niveaux et composée de 4 suites, un double salon avec une cheminée, un coin salle à manger et un coin billard, une cuisine spacieuse et bien équipée, une buanderie, une chambre de lecture, une salle d’eau, quatre salle de bain et une grande terrasse possédant une superbe vue mer. 
Elle est équipée de chauffage central et de climatiseurs. 
La propriété dispose d'un grand jardin, une piscine et un garage. 
Le tout sur une surface de 1000m².
Titre foncier individuel.
Prx : 1 200 000 DT
Pour toutes informations nécessaires et éventuelle visite, vous pouvez nous contacter sur le 00216 29 105 844 / 55 844 605 ou par email à info@mouin-immobilier.com Agence Mouin Immobilier International 
Vous trouverez toutes nos offres en visitant notre site web www.mouin-immobilier.com","[{'url': 'https://fi-dari.tn/uploads/1763804362881blob', 'url_thumb': None, 'legende': None, 'ordre': 1, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804362888blob', 'url_thumb': None, 'legende': None, 'ordre': 2, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804362869blob', 'url_thumb': None, 'legende': None, 'ordre': 3, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804362875blob', 'url_thumb': None, 'legende': None, 'ordre': 4, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804362883blob', 'url_thumb': None, 'legende': None, 'ordre': 5, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804362890blob', 'url_thumb': None, 'legende': None, 'ordre': 6, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804362886blob', 'url_thumb': None, 'legende': None, 'ordre': 7, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804362885blob', 'url_thumb': None, 'legende': None, 'ordre': 8, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804362896blob', 'url_thumb': None, 'legende': None, 'ordre': 9, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804362891blob', 'url_thumb': None, 'legende': None, 'ordre': 10, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804362898blob', 'url_thumb': None, 'legende': None, 'ordre': 11, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804362898blob', 'url_thumb': None, 'legende': None, 'ordre': 12, 'type': 'interieur'}]",12,Agence,,Mouin Immobilier International,"['+21655844605', '55844605']",,fi_dari,playwright_detail_page_ld_rsc,succes,13.997832948091215,Q4,2181.818181818182,6.311734809152915,2.302585092994046,7.688372064862406,6,250.0,1
2026-07-30T23:41:07Z,2025-11-22T09:41:12.904Z,2025-11-22T09:41:12.904Z,vendre,fr,vente,225000.0,TND,1324.0,Maison,Habitation,170.0,120.0,5.0,4.0,0.0,Bon État / Habitable,Tunisie,TN,Nabeul,,Autre,Autre,,[],36.45,10.73333,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"['Lumineux', 'Calme']",Maison s+4,"📣#A_VENDRE📣chez notre #agence🏢#MS_IMMOBILIER🏢une belle #maison❣️❣️ S+4 #Style_arabesque👌👌 à #Beni_Khiar🏝🏖 dans un quartier chic et #résidentiel💒 proche de toutes les commodités 🌊
📐Superficie totale: 170 m²
💰Prix : 225 MD #Négociable
📌Réf: MBK006
👉Pour plus d’informations contactez-nous sur ☎51355351","[{'url': 'https://fi-dari.tn/uploads/1763804508173blob', 'url_thumb': None, 'legende': None, 'ordre': 1, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804508170blob', 'url_thumb': None, 'legende': None, 'ordre': 2, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804508179blob', 'url_thumb': None, 'legende': None, 'ordre': 3, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804508176blob', 'url_thumb': None, 'legende': None, 'ordre': 4, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804508182blob', 'url_thumb': None, 'legende': None, 'ordre': 5, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804508178blob', 'url_thumb': None, 'legende': None, 'ordre': 6, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804508187blob', 'url_thumb': None, 'legende': None, 'ordre': 7, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804508183blob', 'url_thumb': None, 'legende': None, 'ordre': 8, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763804508185blob', 'url_thumb': None, 'legende': None, 'ordre': 9, 'type': 'interieur'}]",9,Agence,,MSIMMO MS,"['+21651355351', '51355351']",,fi_dari,playwright_detail_page_ld_rsc,succes,12.323860125621126,Q2,1323.5294117647059,5.14166355650266,1.791759469228055,7.188812514403444,3,250.0,1
2026-07-30T23:41:00Z,2025-11-22T11:38:59.275Z,2025-11-22T11:38:59.275Z,vendre,fr,vente,500000.0,TND,1149.0,Villa,Habitation,435.0,120.0,7.0,5.0,1.0,Bon État / Habitable,Tunisie,TN,Nabeul,,Hammemet Sud,Autre,,[],36.45,10.73333,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,"['Lumineux', 'Calme', 'Porte blindée', 'Domotique / Caméra de sécurité', 'Accèes sécurisé / DigiCode']",Villa s+5 et plus,"🏢#MS_IMMOBILIER🏢met en #vente cette charmante 🧡 #villa S+3 au RDC avec #jardin🌲🌱et un bel #appartement S+2 au 1er étage avec une #entrée_indépendante 🏘 et une #terrasse 🏖 dans une zone #calme à #Hammamet_Sud🏝🌊
🚘Un spacieux #garage est disponible 
❣️ Possible d'ajouter un autre étage 
📜Document: titre foncier 
📐Superficie terrain : 500 m²
📐Superficie Couvert: 435 m²
💰Prix : 500 MD  
🌳Réf : MHS180
👉Pour plus d’informations contactez-nous sur ☎51355351","[{'url': 'https://fi-dari.tn/uploads/1763811567741blob', 'url_thumb': None, 'legende': None, 'ordre': 1, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763811567747blob', 'url_thumb': None, 'legende': None, 'ordre': 2, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763811567770blob', 'url_thumb': None, 'legende': None, 'ordre': 3, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763811567768blob', 'url_thumb': None, 'legende': None, 'ordre': 4, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763811567773blob', 'url_thumb': None, 'legende': None, 'ordre': 5, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763811567763blob', 'url_thumb': None, 'legende': None, 'ordre': 6, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763811567771blob', 'url_thumb': None, 'legende': None, 'ordre': 7, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763811567774blob', 'url_thumb': None, 'legende': None, 'ordre': 8, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763811567766blob', 'url_thumb': None, 'legende': None, 'ordre': 9, 'type': 'interieur'}]",9,Agence,,MSIMMO MS,"['+21651355351', '51355351']",,fi_dari,playwright_detail_page_ld_rsc,succes,13.122365377402328,Q3,1149.4252873563219,6.077642243349034,2.0794415416798357,7.0478869680850025,5,250.0,1
2026-07-30T23:40:54Z,2025-11-23T08:33:18.937Z,2025-11-23T08:33:18.937Z,vendre,fr,vente,450000.0,TND,3600.0,Appartement,Habitation,125.0,120.0,4.0,3.0,0.0,Bon État / Habitable,Tunisie,TN,Nabeul,,Autre,Autre,,[],36.45,10.73333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],Appartement s+3,"🏢#MS_IMMOBILIER🏢vous offre pour la #vente🤑cette belle #opportunité🎲🎲un spacieux #appartement🔝S+3  disposant d’une #vue_sublime sur la #mer🌊dans une #résidence👨🏬gardée en pleine #zone_touristique ️⛱️de #Nabeul 🏖
🔌💦Chauffage central et climatisation
🚘Place parking au sous-sol
📐Superficie: 125 m²
💰 Prix: 450 MD
🦋Réf: AN017
🤙Pour plus d’informations contactez-nous sur ☎51355351","[{'url': 'https://fi-dari.tn/uploads/1763886827504blob', 'url_thumb': None, 'legende': None, 'ordre': 1, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763886827518blob', 'url_thumb': None, 'legende': None, 'ordre': 2, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763886827522blob', 'url_thumb': None, 'legende': None, 'ordre': 3, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763886827509blob', 'url_thumb': None, 'legende': None, 'ordre': 4, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763886827529blob', 'url_thumb': None, 'legende': None, 'ordre': 5, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763886827526blob', 'url_thumb': None, 'legende': None, 'ordre': 6, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763886827530blob', 'url_thumb': None, 'legende': None, 'ordre': 7, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763886827525blob', 'url_thumb': None, 'legende': None, 'ordre': 8, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763886827532blob', 'url_thumb': None, 'legende': None, 'ordre': 9, 'type': 'interieur'}, {'url': 'https://fi-dari.tn/uploads/1763886827533blob', 'url_thumb': None, 'legende': None, 'ordre': 10, 'type': 'interieur'}]",10,Agence,,MSIMMO MS,"['+21651355351', '51355351']",,fi_dari,playwright_detail_page_ld_rsc,succes,13.017005083966255,Q3,3600.0,4.836281906951478,1.6094379124341003,8.188966863648876,0,249.0,1
