bien.type,bien.superficie_totale,bien.superficie_habitable,bien.nombre_pieces,bien.nombre_chambres,bien.nombre_salles_bain,bien.etat_general,localisation.gouvernorat,localisation.delegation,localisation.ville,localisation.coordonnees.latitude,localisation.coordonnees.longitude,equipements.climatisation,equipements.chauffage,equipements.ascenseur,equipements.garage,equipements.cave,equipements.terrasse,equipements.balcon,equipements.jardin,equipements.piscine,equipements.cuisine_equipee,equipements.double_vitrage,equipements.interphone,equipements.videophone,equipements.alarme,equipements.gardiennage,equipements.dressing,equipements.cuisine_americaine,equipements.concierge,equipements.salle_de_sport,is_vente,label_conflict,prix_per_m2_log,log_superficie,log_nombre_pieces,nb_equipements,jours_depuis_publication,has_coordinates,coastal_premium,size_category
Appartement,100.0,90.0,3.0,2.0,1.0,Bon,Autres,Autres,Hammamet,36.37235,10.5414,False,Radiateur,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0,False,2.3978952727983707,4.61512051684126,1.3862943611198906,3,3431.0,1,0,1
Appartement,42.0,40.0,2.0,2.0,1.0,Neuf,Autres,Autres,Hammamet,36.40774,10.60946,False,Central,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,0,False,3.211227604029944,3.7612001156935624,1.0986122886681098,5,2778.0,1,0,0
Appartement,60.0,,2.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.94312,10.52022,False,Central,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,0,False,3.349904087274605,4.110873864173311,1.0986122886681098,6,2543.0,1,0,0
Appartement,180.0,160.0,4.0,2.0,1.0,Bon,Autres,Autres,Autres,35.83,10.62,False,Central,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0,False,2.3978952727983707,5.198497031265826,1.6094379124341003,3,316.0,1,0,3
Appartement,90.0,80.0,3.0,2.0,1.0,Bon,Autres,Autres,Tantana,35.94312,10.52022,False,Central,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0,False,2.4941233048929243,4.51085950651685,1.3862943611198906,2,2364.0,1,0,1
Appartement,91.0,,3.0,2.0,1.0,Bon,Autres,Autres,Autres,35.75616,10.82802,False,Central,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,0,False,2.7963428082478887,4.5217885770490405,1.3862943611198906,3,1215.0,1,0,1
Appartement,100.0,90.0,3.0,2.0,1.0,Bon,Sousse,Autres,Hammam Sousse,35.8569,10.5972,False,Central,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.5649493574615367,4.61512051684126,1.3862943611198906,0,1528.0,1,1,1
Appartement,138.0,,3.0,2.0,1.0,Bon,Tunis,Autres,Gammarth,36.9173,10.28525,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,False,3.2719356739208627,4.9344739331306915,1.3862943611198906,2,1928.0,1,1,2
Appartement,150.0,120.0,3.0,2.0,1.0,Bon,Autres,Autres,Autres,35.79,10.56,False,Central,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.1972245773362196,5.017279836814924,1.3862943611198906,0,968.0,1,0,3
Appartement,80.0,,3.0,2.0,1.0,Bon,Sousse,Autres,Autres,35.87,10.57,False,Central,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,False,1.9810014688665833,4.394449154672439,1.3862943611198906,1,11.0,1,1,0
Appartement,110.0,,3.0,2.0,1.0,Neuf,Sousse,Autres,Hergla,36.0301,10.5079,False,Central,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0,False,2.2655438213136967,4.709530201312334,1.3862943611198906,3,374.0,1,1,1
Appartement,130.0,130.0,3.0,2.0,1.0,Neuf,Autres,Autres,Autres,35.83366,10.64068,False,Central,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.1171818696626827,4.875197323201151,1.3862943611198906,0,1808.0,1,0,2
Maison,497.5369,400.0,6.0,2.0,1.0,Bon,Autres,Autres,Hammamet,36.43023,10.4873,False,Central,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,0,False,1.6094379124341003,6.211677608728594,1.9459101490553132,4,1795.0,1,0,4
Appartement,117.5,110.0,3.0,2.0,1.0,Bon,Autres,Autres,Sousse,35.8273,10.6339,False,"Climatisation, Central",True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,0,False,2.622198692790842,4.774912960575186,1.3862943611198906,4,1667.0,1,0,2
Appartement,76.5,100.0,3.0,2.0,1.0,Bon,Sousse,Autres,Hergla,36.02864,10.5036,False,"Radiateur, Climatisation",False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0,False,3.3011483222383182,4.350277936359301,1.3862943611198906,3,303.0,1,1,0
Appartement,76.5,150.0,4.0,2.0,1.0,Bon,Sousse,Autres,Hergla,36.02907,10.50693,False,"Radiateur, Climatisation",False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,0,False,2.733008467334927,4.350277936359301,1.6094379124341003,6,1523.0,1,1,0
Appartement,497.5369,200.0,5.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.86401,10.5702,False,"Climatisation, Central",False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,0,False,1.7578579175523736,6.211677608728594,1.791759469228055,3,375.0,1,0,4
